numero,mes,categoria_csv,titulo,estrategia_ctr,mv_categoria_primaria,mv_categoria_secundaria,mv_categoria_terciaria,observacao_mapeamento,triagem_status,triagem_observacao
53,Maio,Software & Tech,Plataforma veicular única para múltiplos modelos: a aposta de engenharia que pode mudar o custo de desenvolver carros,Conceito técnico com impacto financeiro. Atrai engenheiros e executivos.,Novidades Automotivas,Dicas e Curiosidades,Gestao e Operacao Automotiva,Concentrar em Novidades Automotivas para tecnologia embarcada e movimento de montadoras; usar Dicas e Curiosidades para explicacoes de uso/impacto; usar Gestao e Operacao Automotiva quando o foco for impacto operacional no negocio automotivo.,entra-adaptacao,"Tema aproveitável, mas precisa tradução editorial para intenção real do usuário ou do operador automotivo do MV."
55,Maio,Software & Tech,Edge computing no veículo: quando o carro processa dados sem depender da nuvem — e por que isso importa,Conceito técnico traduzido em benefício. Público de tech e produto automotivo.,Novidades Automotivas,Dicas e Curiosidades,Gestao e Operacao Automotiva,Concentrar em Novidades Automotivas para tecnologia embarcada e movimento de montadoras; usar Dicas e Curiosidades para explicacoes de uso/impacto; usar Gestao e Operacao Automotiva quando o foco for impacto operacional no negocio automotivo.,entra-adaptacao,"Tema aproveitável, mas precisa tradução editorial para intenção real do usuário ou do operador automotivo do MV."
56,Maio,Software & Tech,"ADAS nível 2, 3 e 4: o que cada nível realmente significa para quem está atrás do volante agora",O que realmente significa posiciona o artigo como tradutor. Alto CTR em buscas informacionais.,Novidades Automotivas,Dicas e Curiosidades,Gestao e Operacao Automotiva,Concentrar em Novidades Automotivas para tecnologia embarcada e movimento de montadoras; usar Dicas e Curiosidades para explicacoes de uso/impacto; usar Gestao e Operacao Automotiva quando o foco for impacto operacional no negocio automotivo.,entra-adaptacao,"Tema pode render tráfego, mas pede adaptação para não soar distante, genérico ou excessivamente global/tendencial."
63,Maio,Mobilidade,O transporte por aplicativo acelerou a eletrificação da frota urbana — mas criou um novo problema de infraestrutura,Causa e efeito inesperado. Difícil de resumir sem perder a lógica do argumento.,Dicas e Curiosidades,Novidades Automotivas,Seguro e Protecao Veicular,"Usar com criterio. Vai melhor quando houver ponte clara com decisao automotiva, comportamento do consumidor ou impacto regulatorio/mercado no Brasil.",entra-adaptacao,"Tema pode render tráfego, mas pede adaptação para não soar distante, genérico ou excessivamente global/tendencial."
64,Maio,Mobilidade,Cidades de 15 minutos e o papel do carro: o debate urbanístico que chegou às salas de estratégia das montadoras,Conceito urbano conectado à indústria. Ângulo original que poucos artigos exploram.,Dicas e Curiosidades,Novidades Automotivas,Seguro e Protecao Veicular,"Usar com criterio. Vai melhor quando houver ponte clara com decisao automotiva, comportamento do consumidor ou impacto regulatorio/mercado no Brasil.",entra-adaptacao,"Tema aproveitável, mas precisa tradução editorial para intenção real do usuário ou do operador automotivo do MV."
65,Maio,Mobilidade,Logística urbana de última milha: por que a van elétrica pode ser o veículo mais importante dos próximos 5 anos,"Segmento subestimado com argumento forte. Atrai logística, e-commerce e frotas.",Dicas e Curiosidades,Novidades Automotivas,Seguro e Protecao Veicular,"Usar com criterio. Vai melhor quando houver ponte clara com decisao automotiva, comportamento do consumidor ou impacto regulatorio/mercado no Brasil.",entra-adaptacao,"Tema pode render tráfego, mas pede adaptação para não soar distante, genérico ou excessivamente global/tendencial."
66,Maio,Mobilidade,"Estacionamento inteligente, sinalização conectada e semáforo adaptativo: a cidade que o carro autônomo precisa — e que ainda não existe",Lista de infraestrutura faltante. Instiga o leitor a questionar o ritmo da mudança.,Dicas e Curiosidades,Novidades Automotivas,Seguro e Protecao Veicular,"Usar com criterio. Vai melhor quando houver ponte clara com decisao automotiva, comportamento do consumidor ou impacto regulatorio/mercado no Brasil.",entra-adaptacao,"Tema pode render tráfego, mas pede adaptação para não soar distante, genérico ou excessivamente global/tendencial."
76,Maio,IA & Dados,Modelos de linguagem dentro do carro: quando o assistente de voz deixou de ser útil e virou inteligente,Comparação temporal com implicação qualitativa. Alto CTR em público tech.,Gestao e Operacao Automotiva,Marketing e Vendas para Negocios,Novidades Automotivas,"Nao tratar como categoria publica propria por enquanto. Encaixar conforme o uso pratico: operacao, vendas ou novidade de mercado.",entra-adaptacao,"Tema pode render tráfego, mas pede adaptação para não soar distante, genérico ou excessivamente global/tendencial."
77,Maio,IA & Dados,IA generativa no design automotivo: ferramenta de produtividade ou ameaça ao designer de produto?,"Tensão profissional real. Designers, engenheiros e gestores de produto clicam.",Gestao e Operacao Automotiva,Marketing e Vendas para Negocios,Novidades Automotivas,"Nao tratar como categoria publica propria por enquanto. Encaixar conforme o uso pratico: operacao, vendas ou novidade de mercado.",entra-adaptacao,"Tema aproveitável, mas precisa tradução editorial para intenção real do usuário ou do operador automotivo do MV."
78,Maio,IA & Dados,Como as montadoras estão usando machine learning para prever falhas antes que o motorista perceba qualquer problema,"Benefício concreto ao usuário final. Baixo CTR em perguntas, alto em benefício declarado.",Gestao e Operacao Automotiva,Marketing e Vendas para Negocios,Novidades Automotivas,"Nao tratar como categoria publica propria por enquanto. Encaixar conforme o uso pratico: operacao, vendas ou novidade de mercado.",entra-adaptacao,"Tema pode render tráfego, mas pede adaptação para não soar distante, genérico ou excessivamente global/tendencial."
79,Maio,IA & Dados,O dado que o carro coleta sobre você — e quem realmente tem acesso a ele além da montadora,Privacidade + poder assimétrico. Provoca desconforto que gera clique imediato.,Gestao e Operacao Automotiva,Marketing e Vendas para Negocios,Novidades Automotivas,"Nao tratar como categoria publica propria por enquanto. Encaixar conforme o uso pratico: operacao, vendas ou novidade de mercado.",entra-adaptacao,"Tema pode render tráfego, mas pede adaptação para não soar distante, genérico ou excessivamente global/tendencial."
91,Junho,Software & Tech,O carro que recusa comandos perigosos: como a IA embarcada está começando a tomar decisões no lugar do motorista,Autonomia da máquina sobre o humano. Gera debate ético e tecnológico imediato.,Novidades Automotivas,Dicas e Curiosidades,Gestao e Operacao Automotiva,Concentrar em Novidades Automotivas para tecnologia embarcada e movimento de montadoras; usar Dicas e Curiosidades para explicacoes de uso/impacto; usar Gestao e Operacao Automotiva quando o foco for impacto operacional no negocio automotivo.,entra-adaptacao,"Tema aproveitável, mas precisa tradução editorial para intenção real do usuário ou do operador automotivo do MV."
92,Junho,Software & Tech,Arquitetura centralizada de software: a mudança silenciosa que vai encarecer a manutenção do seu próximo carro,Silenciosa aciona o instinto de alerta. Consequência oculta para o consumidor.,Novidades Automotivas,Dicas e Curiosidades,Gestao e Operacao Automotiva,Concentrar em Novidades Automotivas para tecnologia embarcada e movimento de montadoras; usar Dicas e Curiosidades para explicacoes de uso/impacto; usar Gestao e Operacao Automotiva quando o foco for impacto operacional no negocio automotivo.,entra-adaptacao,"Tema pode render tráfego, mas pede adaptação para não soar distante, genérico ou excessivamente global/tendencial."
93,Junho,Software & Tech,Quando o carro vira assinatura de software: o modelo que a Apple tentou e as montadoras estão copiando,Analogia com big tech + crítica implícita. Alto engajamento em público de tecnologia.,Novidades Automotivas,Dicas e Curiosidades,Gestao e Operacao Automotiva,Concentrar em Novidades Automotivas para tecnologia embarcada e movimento de montadoras; usar Dicas e Curiosidades para explicacoes de uso/impacto; usar Gestao e Operacao Automotiva quando o foco for impacto operacional no negocio automotivo.,entra-adaptacao,"Tema aproveitável, mas precisa tradução editorial para intenção real do usuário ou do operador automotivo do MV."
94,Junho,Software & Tech,5G no veículo: velocidade de conexão não é o ponto — o que realmente muda é a latência nas decisões em tempo real,Correção de percepção popular. Posiciona o artigo como fonte técnica confiável.,Novidades Automotivas,Dicas e Curiosidades,Gestao e Operacao Automotiva,Concentrar em Novidades Automotivas para tecnologia embarcada e movimento de montadoras; usar Dicas e Curiosidades para explicacoes de uso/impacto; usar Gestao e Operacao Automotiva quando o foco for impacto operacional no negocio automotivo.,entra-adaptacao,"Tema aproveitável, mas precisa tradução editorial para intenção real do usuário ou do operador automotivo do MV."
95,Junho,Software & Tech,O mapa que o carro aprende sozinho: como o HD mapping está tornando a navegação automotiva mais precisa que o GPS convencional,Tecnologia emergente com comparação familiar. Público amplo com alta intenção de entender.,Novidades Automotivas,Dicas e Curiosidades,Gestao e Operacao Automotiva,Concentrar em Novidades Automotivas para tecnologia embarcada e movimento de montadoras; usar Dicas e Curiosidades para explicacoes de uso/impacto; usar Gestao e Operacao Automotiva quando o foco for impacto operacional no negocio automotivo.,entra-adaptacao,"Tema pode render tráfego, mas pede adaptação para não soar distante, genérico ou excessivamente global/tendencial."
96,Junho,Software & Tech,"Interface humano-máquina no carro: menos botões, mais telas — e o motorista que ainda não se adaptou",Conflito geracional e de usabilidade. Ressoa com motoristas de todas as idades.,Novidades Automotivas,Dicas e Curiosidades,Gestao e Operacao Automotiva,Concentrar em Novidades Automotivas para tecnologia embarcada e movimento de montadoras; usar Dicas e Curiosidades para explicacoes de uso/impacto; usar Gestao e Operacao Automotiva quando o foco for impacto operacional no negocio automotivo.,entra-adaptacao,"Tema pode render tráfego, mas pede adaptação para não soar distante, genérico ou excessivamente global/tendencial."
115,Junho,IA & Dados,Como a IA está sendo usada para detectar fraudes no mercado de seminovos — e por que os vendedores desonestos já estão se adaptando,Corrida armamentista digital. Narrativa de conflito que prende o leitor do início ao fim.,Gestao e Operacao Automotiva,Marketing e Vendas para Negocios,Novidades Automotivas,"Nao tratar como categoria publica propria por enquanto. Encaixar conforme o uso pratico: operacao, vendas ou novidade de mercado.",entra-adaptacao,"Tema aproveitável, mas precisa tradução editorial para intenção real do usuário ou do operador automotivo do MV."
116,Junho,IA & Dados,Recomendação de veículo por IA: quando o algoritmo conhece seu perfil de compra melhor do que o vendedor,Substituição de função humana com nuance. Alto CTR em público de tecnologia e vendas.,Gestao e Operacao Automotiva,Marketing e Vendas para Negocios,Novidades Automotivas,"Nao tratar como categoria publica propria por enquanto. Encaixar conforme o uso pratico: operacao, vendas ou novidade de mercado.",entra-adaptacao,"Tema aproveitável, mas precisa tradução editorial para intenção real do usuário ou do operador automotivo do MV."
117,Junho,IA & Dados,O modelo preditivo que avisa a montadora antes do recall: como a análise de dados está antecipando falhas de produto em escala,Benefício sistêmico com impacto no consumidor final. Difícil resumir sem o argumento completo.,Gestao e Operacao Automotiva,Marketing e Vendas para Negocios,Novidades Automotivas,"Nao tratar como categoria publica propria por enquanto. Encaixar conforme o uso pratico: operacao, vendas ou novidade de mercado.",entra-adaptacao,"Tema aproveitável, mas precisa tradução editorial para intenção real do usuário ou do operador automotivo do MV."
119,Junho,IA & Dados,Visão computacional nas linhas de montagem: como as câmeras estão substituindo inspeções humanas e o que se perde nessa troca,Ganho + perda em um título. Não é panfletário — gera debate real.,Gestao e Operacao Automotiva,Marketing e Vendas para Negocios,Novidades Automotivas,"Nao tratar como categoria publica propria por enquanto. Encaixar conforme o uso pratico: operacao, vendas ou novidade de mercado.",entra-adaptacao,"Tema pode render tráfego, mas pede adaptação para não soar distante, genérico ou excessivamente global/tendencial."
